name,story_name,dataset,sprint_id,year,story_points
RS,Runbook,CE,Sprint 12,2022,2.0
RS,Runbook,FS,Sprint 12,2022,2.0
RS,Tech Spec,CE,Sprint 13,2022,2.0
RS,Alignment,CE,Sprint 13,2022,0.5
RS,Alerting,CE,Sprint 13,2022,2.0
RS,Alignment,C-Equip,Sprint 13,2022,0.5
RS,Alerting,C-Equip,Sprint 13,2022,2.0
RS,Alerting,FS,Sprint 13,2022,2.0
RS,Functional,C-Equip,Sprint 13,2022,1.0
RS,Functional,CE,Sprint 13,2022,1.0
RS,Tech Spec,C-Equip,Sprint 14,2022,2.0
RS,Monitoring,C-Equip,Sprint 14,2022,3.0
RS,Alignment,FS,Sprint 14,2022,0.5
RS,Runbook,C-Equip,Sprint 14,2022,2.0
RS,Functional,FS,Sprint 14,2022,1.0
RS,Review,MA,Sprint 14,2022,0.5
RS,Runbook,CE,Sprint 14,2022,4.0
RS,Alignment,SA,Sprint 15,2022,0.5
RS,Functional,SA,Sprint 15,2022,1.0
RS,Functional,SABE,Sprint 15,2022,1.0
RS,Tech Spec,SA,Sprint 15,2022,4.0
RS,Tech Spec,SABE,Sprint 15,2022,4.0
RS,Alignment,SABE,Sprint 15,2022,0.5
RS,Review,RC,Sprint 15,2022,0.5
RS,Review,SCA,Sprint 15,2022,0.5
RS,Tech Spec,DD,Sprint 16,2022,2.0
RS,Runbook,D,Sprint 16,2022,3.0
RS,Runbook,DABE,Sprint 16,2022,3.0
RS,Operational,SABE,Sprint 16,2022,0.5
RS,Runbook,ADLAE,Sprint 16,2022,3.0
RS,Tech Spec,DDCV,Sprint 16,2022,3.0
RS,Tech Spec,PC,Sprint 17,2022,4.0
RS,Tech Spec,ADLE,Sprint 17,2022,4.0
RS,Runbook,ADLE,Sprint 17,2022,3.0
RS,Functional,ADLAS,Sprint 17,2022,1.0
RS,Tech Spec,ADLAS,Sprint 17,2022,5.0
RS,Runbook,SABE,Sprint 17,2022,3.0
RS,Functional,ADLE,Sprint 17,2022,1.0
RS,Alignment,DD,Sprint 18,2022,0.5
RS,Alerting,DDBE,Sprint 18,2022,0.5
RS,Monitoring,DDBE,Sprint 18,2022,3.0
RS,Runbook,ADLAS,Sprint 18,2022,3.0
RS,Tech Spec,DDBE,Sprint 18,2022,2.0
RS,Tech Spec,D,Sprint 19,2022,5.0
RS,Runbook,DABE,Sprint 19,2022,3.0
RS,Functional,ADLEAS,Sprint 20,2022,1.0
RS,Tech Spec,ADLEAS,Sprint 20,2022,5.0
RS,Alerting,DABE,Sprint 20,2022,2.0
RS,Tech Spec,DDBE,Sprint 20,2022,2.0
RS,Operational,PC,Sprint 21,2022,0.5
RS,Functional,AI,Sprint 21,2022,1.0
RS,Tech Spec,AI,Sprint 21,2022,4.0
RS,Monitoring,OC,Sprint 21,2022,3.0
RS,Monitoring,DABE,Sprint 21,2022,3.0
RS,Update TF,PC,Sprint 21,2022,0.5
RS,Alerting,CA,Sprint 22,2022,2.0
RS,Operational,COSCBE,Sprint 22,2022,0.5
RS,Operational,COM,Sprint 22,2022,0.5
RS,Monitoring,COM,Sprint 22,2022,3.0
RS,Transition,COM,Sprint 22,2022,3.0
RS,Alerting,OCT,Sprint 23,2022,2.0
RS,Tech Spec,DSP ORG,Sprint 23,2022,6.0
RS,Tech Spec,RC,Sprint 24,2022,4.0
RS,Monitoring,COCBE,Sprint 24,2022,2.0
RS,Review,FS,Sprint 24,2022,0.5
RS,Alignment,FS,Sprint 24,2022,0.5
RS,Alerting,FS,Sprint 24,2022,2.0
RS,Tech Spec,Ind,Sprint 25,2022,4.0
RS,Functional,CPA,Sprint 25,2022,1.0
RS,Tech Spec,CPP,Sprint 25,2022,4.0
RS,Tech Spec,IM,Sprint 26,2022,4.0
RS,Tech Spec,IMR,Sprint 26,2022,4.0
PD,None,None,Sprint 12,2022,0.0
PD,Alerting,MF,Sprint 13,2022,2.0
PD,Tech Spec,PCR,Sprint 13,2022,2.0
PD,Alerting,PCR,Sprint 13,2022,2.0
PD,Functional,MF,Sprint 13,2022,1.0
PD,Functional,PCR,Sprint 13,2022,1.0
PD,Tech Spec,MF,Sprint 13,2022,2.0
