name,sprint_id,story_points
RS,Sprint 12,4.0
RS,Sprint 13,11.0
RS,Sprint 14,13.0
RS,Sprint 15,12.0
RS,Sprint 16,14.5
RS,Sprint 17,21.0
RS,Sprint 18,9.0
RS,Sprint 19,8.0
RS,Sprint 20,10.0
RS,Sprint 21,12.0
RS,Sprint 22,9.0
RS,Sprint 23,8.0
RS,Sprint 24,9.0
RS,Sprint 25,9.0
RS,Sprint 26,8.0
PD,Sprint 12,0.0
PD,Sprint 13,10.0
PD,Sprint 14,12.0
PD,Sprint 15,9.0
PD,Sprint 16,13.5
PD,Sprint 17,13.0
PD,Sprint 18,9.0
PD,Sprint 19,10.5
PD,Sprint 20,10.0
PD,Sprint 21,9.5
PD,Sprint 22,14.0
PD,Sprint 23,10.0
PD,Sprint 24,7.0
PD,Sprint 25,8.5
PD,Sprint 26,6.5
JP,Sprint 12,5.0
JP,Sprint 13,5.5
JP,Sprint 14,11.5
JP,Sprint 15,12.5
JP,Sprint 16,19.5
JP,Sprint 17,11.0
JP,Sprint 18,7.5
JP,Sprint 19,11.5
JP,Sprint 20,11.0
JP,Sprint 21,9.5
JP,Sprint 22,10.0
JP,Sprint 23,10.0
JP,Sprint 24,10.5
JP,Sprint 25,10.5
JP,Sprint 26,8.5
